asset_age_years,past_failures,current_condition_score,last_maintained_days_ago,traffic_load_trains_per_day,asset_type,observed_urgency_score
30.1,0,43.8,182,26,Signal,42.33
19.9,2,77.1,425,23,Track (Rail/Ballast),32.9
34.3,1,86.6,436,106,S&T (Points/Crossing),31.45
31.5,0,92.3,689,42,Track (Rail/Ballast),21.91
38.6,4,86.7,400,49,Track (Rail/Ballast),29.77
33.6,2,94.0,53,34,Signal,10.32
11.3,2,50.3,629,37,Track (Rail/Ballast),49.09
25.7,1,78.4,8,87,S&T (Points/Crossing),15.41
39.4,4,67.8,203,31,OHE (Overhead Equipment),30.36
16.2,3,28.7,243,82,Signal,40.44
8.8,2,49.5,288,41,OHE (Overhead Equipment),22.58
39.8,1,75.6,293,143,Track (Rail/Ballast),34.58
16.3,5,59.8,254,182,S&T (Points/Crossing),38.56
25.4,2,92.4,220,131,OHE (Overhead Equipment),30.54
2.8,2,51.7,386,108,OHE (Overhead Equipment),25.59
8.7,2,87.3,317,90,Track (Rail/Ballast),21.41
1.0,2,21.3,279,80,Signal,40.72
26.9,2,74.3,631,115,Signal,37.29
8.3,4,87.9,33,202,OHE (Overhead Equipment),18.66
10.1,0,66.3,224,70,Track (Rail/Ballast),21.7
35.5,2,96.7,475,72,Signal,36.71
38.5,0,99.4,625,213,Track (Rail/Ballast),43.25
17.3,1,11.1,567,55,Signal,50.82
21.0,2,65.2,297,115,Signal,25.58
20.7,2,81.4,510,32,Track (Rail/Ballast),40.34
36.8,5,73.1,559,44,OHE (Overhead Equipment),40.39
24.9,3,26.1,510,187,Track (Rail/Ballast),61.71
9.4,6,46.3,551,50,Track (Rail/Ballast),44.18
35.5,0,47.9,161,123,OHE (Overhead Equipment),27.56
22.7,2,52.5,558,52,Signal,48.67
4.9,4,39.4,62,169,S&T (Points/Crossing),38.33
6.2,4,57.3,139,158,OHE (Overhead Equipment),27.19
21.0,4,97.3,455,104,Signal,33.08
35.9,4,88.4,697,111,Signal,39.28
4.1,2,24.1,534,200,Signal,59.29
21.9,1,82.1,516,143,Track (Rail/Ballast),38.99
38.4,0,11.4,504,169,OHE (Overhead Equipment),68.17
16.3,1,63.3,276,117,OHE (Overhead Equipment),32.18
27.9,3,97.8,624,80,Track (Rail/Ballast),31.35
2.9,1,99.7,391,99,Track (Rail/Ballast),13.08
16.0,1,99.8,83,134,S&T (Points/Crossing),17.77
34.5,3,76.2,579,157,OHE (Overhead Equipment),51.69
26.5,3,43.1,302,94,Track (Rail/Ballast),51.88
27.5,4,16.0,221,70,Signal,65.34
15.6,4,77.0,151,160,Signal,26.24
29.0,0,86.5,108,42,OHE (Overhead Equipment),21.51
25.3,2,73.2,536,72,S&T (Points/Crossing),31.38
23.5,3,90.5,482,48,Signal,38.08
37.7,2,24.9,129,99,S&T (Points/Crossing),52.82
24.1,0,92.7,292,36,OHE (Overhead Equipment),18.89
30.8,6,46.0,296,25,Track (Rail/Ballast),35.11
13.7,2,40.7,619,127,Track (Rail/Ballast),43.98
9.7,2,39.9,471,135,Signal,51.05
13.8,1,60.7,312,36,Signal,21.94
1.1,2,42.0,200,124,S&T (Points/Crossing),33.47
27.2,4,51.9,45,59,Signal,49.45
39.0,6,92.8,400,209,Track (Rail/Ballast),49.76
3.7,0,46.0,335,209,Track (Rail/Ballast),38.13
39.6,2,31.2,700,207,S&T (Points/Crossing),75.95
5.0,2,26.0,378,15,Signal,36.65
10.2,4,13.7,75,173,OHE (Overhead Equipment),46.98
32.2,1,63.1,415,135,Signal,52.45
24.3,2,73.6,8,30,Signal,15.56
32.2,3,95.2,552,35,Track (Rail/Ballast),37.0
35.8,1,95.1,302,71,S&T (Points/Crossing),28.04
21.7,2,92.1,652,142,S&T (Points/Crossing),40.35
9.8,3,56.4,378,63,OHE (Overhead Equipment),33.33
15.6,4,10.0,121,115,OHE (Overhead Equipment),40.37
2.7,3,94.9,111,79,Signal,15.63
35.0,1,71.8,509,165,Track (Rail/Ballast),38.75
3.8,2,87.9,85,125,Track (Rail/Ballast),21.35
20.2,1,27.6,219,104,S&T (Points/Crossing),47.32
28.1,5,19.9,608,113,Track (Rail/Ballast),71.24
25.5,3,19.6,51,201,OHE (Overhead Equipment),63.0
38.5,4,62.4,255,217,Signal,58.13
14.5,1,86.2,195,115,Signal,22.99
38.4,3,26.7,59,202,Track (Rail/Ballast),48.71
4.7,2,29.9,205,94,Signal,24.01
29.7,5,80.3,108,169,S&T (Points/Crossing),35.97
21.6,0,74.4,269,18,Track (Rail/Ballast),16.16
32.9,2,24.3,276,115,Signal,52.81
8.7,1,52.1,555,100,Track (Rail/Ballast),48.01
9.6,2,16.9,478,184,OHE (Overhead Equipment),48.15
2.6,3,12.6,637,120,S&T (Points/Crossing),55.47
16.8,6,85.6,651,136,Track (Rail/Ballast),31.71
3.2,2,14.8,270,87,Signal,40.79
28.8,1,27.7,628,130,Track (Rail/Ballast),55.88
23.1,2,58.9,678,63,S&T (Points/Crossing),50.9
31.1,4,91.8,273,68,Signal,30.27
31.2,2,69.7,642,174,OHE (Overhead Equipment),43.3
10.8,1,94.7,19,81,Signal,0.0
1.6,1,57.0,595,161,Track (Rail/Ballast),44.39
36.3,2,79.1,468,195,S&T (Points/Crossing),45.84
16.2,3,77.7,207,66,Track (Rail/Ballast),25.63
14.2,0,59.3,57,178,Signal,30.39
19.8,1,33.6,678,143,Track (Rail/Ballast),62.51
12.6,0,31.5,258,104,Signal,34.65
9.5,3,88.8,657,184,S&T (Points/Crossing),35.79
34.8,2,86.5,685,103,Signal,44.09
17.1,2,32.7,257,203,Track (Rail/Ballast),50.93
19.9,1,17.5,315,98,Signal,53.13
25.0,2,71.2,398,172,S&T (Points/Crossing),33.73
24.1,0,73.5,305,79,OHE (Overhead Equipment),37.24
26.4,0,73.0,503,116,Track (Rail/Ballast),40.16
7.7,3,17.1,185,38,Track (Rail/Ballast),37.39
19.8,0,74.1,469,185,Track (Rail/Ballast),38.41
7.3,4,47.0,293,204,Track (Rail/Ballast),45.14
33.2,6,47.6,631,190,Track (Rail/Ballast),61.81
39.8,1,85.0,305,40,Track (Rail/Ballast),34.53
36.5,4,30.8,725,35,Signal,58.75
29.1,2,83.3,154,99,S&T (Points/Crossing),27.27
23.6,1,81.7,448,193,Signal,32.93
32.0,0,80.9,174,18,Track (Rail/Ballast),20.95
32.3,2,35.4,503,69,Track (Rail/Ballast),63.54
11.2,1,61.0,553,153,Track (Rail/Ballast),31.87
35.4,1,73.0,236,217,Signal,36.65
4.3,3,28.8,584,210,S&T (Points/Crossing),51.26
9.6,3,11.0,421,51,S&T (Points/Crossing),57.07
18.2,0,99.7,398,123,Track (Rail/Ballast),35.1
33.6,3,28.8,206,62,OHE (Overhead Equipment),51.54
9.6,4,21.2,66,136,Signal,52.96
38.5,5,34.4,348,87,OHE (Overhead Equipment),58.3
26.1,3,55.4,666,184,S&T (Points/Crossing),55.36
39.7,2,95.5,506,26,Track (Rail/Ballast),31.9
39.2,1,77.6,691,94,OHE (Overhead Equipment),48.27
13.6,1,34.5,688,40,Track (Rail/Ballast),42.7
20.5,2,21.0,596,155,S&T (Points/Crossing),62.45
8.8,3,18.8,74,174,OHE (Overhead Equipment),48.43
16.8,3,42.5,55,161,OHE (Overhead Equipment),36.17
11.4,1,14.1,26,184,S&T (Points/Crossing),52.21
16.5,1,16.3,287,156,OHE (Overhead Equipment),47.86
16.9,1,36.1,132,162,S&T (Points/Crossing),33.49
6.3,2,35.0,470,192,S&T (Points/Crossing),46.11
39.8,4,42.4,308,188,OHE (Overhead Equipment),62.2
31.6,2,44.0,151,84,Signal,35.97
17.0,1,12.2,122,171,Signal,54.98
26.4,3,53.0,653,57,S&T (Points/Crossing),50.03
14.2,1,12.5,500,219,Signal,67.68
3.6,3,95.7,466,215,Track (Rail/Ballast),26.63
2.7,3,55.3,487,102,Signal,25.17
5.1,3,60.9,142,56,OHE (Overhead Equipment),18.42
16.9,4,29.0,505,123,Signal,62.77
17.0,3,59.5,394,212,Signal,45.78
23.7,2,16.7,108,133,OHE (Overhead Equipment),51.39
25.6,0,94.6,279,135,S&T (Points/Crossing),19.34
20.8,3,53.1,543,45,Track (Rail/Ballast),48.12
15.5,4,99.0,555,90,S&T (Points/Crossing),24.46
26.2,3,20.1,275,103,OHE (Overhead Equipment),54.49
8.5,1,79.8,35,59,S&T (Points/Crossing),11.39
3.1,1,14.7,47,163,OHE (Overhead Equipment),45.64
18.8,1,63.8,68,146,OHE (Overhead Equipment),25.36
10.4,1,89.7,530,131,S&T (Points/Crossing),24.78
31.8,5,99.4,657,38,S&T (Points/Crossing),41.35
8.5,5,51.8,565,176,Track (Rail/Ballast),53.29
29.3,1,71.7,191,205,OHE (Overhead Equipment),48.25
30.3,3,94.7,317,113,Signal,25.96
20.5,0,90.5,107,92,OHE (Overhead Equipment),16.48
23.3,1,15.3,22,161,S&T (Points/Crossing),49.8
18.2,2,23.5,709,57,S&T (Points/Crossing),59.03
33.7,6,53.9,19,82,Signal,41.0
24.0,4,81.4,80,174,OHE (Overhead Equipment),36.18
17.9,4,95.8,340,16,Track (Rail/Ballast),22.36
23.2,4,62.1,683,42,Signal,53.53
28.5,2,50.0,503,28,S&T (Points/Crossing),52.21
24.6,2,96.3,629,24,S&T (Points/Crossing),38.77
32.5,4,82.0,31,35,OHE (Overhead Equipment),30.79
19.0,3,42.0,102,88,S&T (Points/Crossing),35.64
21.3,4,35.0,93,38,S&T (Points/Crossing),45.81
6.1,5,26.1,555,201,S&T (Points/Crossing),56.23
33.6,2,71.0,112,182,Signal,25.42
20.8,2,52.2,174,75,OHE (Overhead Equipment),28.83
30.6,6,69.4,363,121,Track (Rail/Ballast),53.77
2.7,3,57.1,299,70,S&T (Points/Crossing),37.05
15.9,2,64.4,665,175,OHE (Overhead Equipment),45.22
14.4,3,83.5,602,46,Track (Rail/Ballast),40.05
8.8,2,25.5,652,158,Track (Rail/Ballast),66.72
31.1,3,49.5,327,18,Track (Rail/Ballast),35.94
17.6,1,41.5,616,130,OHE (Overhead Equipment),46.59
17.0,2,49.5,677,25,Signal,45.97
11.7,5,92.3,496,182,Signal,36.89
32.2,4,58.9,376,140,OHE (Overhead Equipment),38.85
3.3,3,11.5,148,59,Signal,36.28
18.9,2,43.3,16,128,Track (Rail/Ballast),32.51
11.3,4,57.5,624,213,OHE (Overhead Equipment),40.41
35.5,2,48.0,607,114,OHE (Overhead Equipment),53.77
37.3,3,15.3,657,28,S&T (Points/Crossing),61.99
34.2,4,75.6,214,176,Signal,50.38
1.3,3,89.0,685,61,OHE (Overhead Equipment),26.34
7.7,1,43.8,375,82,Track (Rail/Ballast),37.16
31.2,2,92.5,443,183,S&T (Points/Crossing),39.51
10.2,2,98.8,435,38,Track (Rail/Ballast),30.68
19.1,1,88.9,264,209,S&T (Points/Crossing),25.87
39.5,3,88.2,123,219,Signal,30.51
4.1,1,94.3,686,20,OHE (Overhead Equipment),20.33
15.4,4,45.8,366,206,S&T (Points/Crossing),41.01
18.8,2,48.5,644,24,OHE (Overhead Equipment),50.35
10.1,1,99.7,207,42,S&T (Points/Crossing),4.43
26.7,1,64.4,597,66,OHE (Overhead Equipment),41.92
24.0,6,67.4,581,126,Signal,45.54
25.0,2,14.8,618,170,Signal,65.54
3.5,6,90.3,450,98,OHE (Overhead Equipment),31.22
12.7,2,48.6,309,169,Signal,45.89
23.7,1,61.8,704,205,Signal,51.36
25.8,1,76.0,708,64,OHE (Overhead Equipment),33.85
29.3,1,93.1,611,20,S&T (Points/Crossing),54.79
21.8,2,93.6,350,56,OHE (Overhead Equipment),24.24
32.5,0,78.8,461,106,S&T (Points/Crossing),37.79
0.7,1,14.2,56,29,Signal,35.93
6.5,3,89.3,223,193,OHE (Overhead Equipment),26.73
30.2,1,94.4,285,219,OHE (Overhead Equipment),42.86
21.9,1,50.5,184,34,OHE (Overhead Equipment),32.52
18.7,3,66.5,394,186,OHE (Overhead Equipment),46.68
35.0,2,78.6,491,57,S&T (Points/Crossing),28.43
3.3,1,85.9,351,213,OHE (Overhead Equipment),25.75
20.9,2,70.2,423,147,Signal,29.94
33.7,2,20.3,88,155,Signal,55.7
31.3,0,60.0,406,19,OHE (Overhead Equipment),36.85
15.8,4,10.2,648,214,Track (Rail/Ballast),76.66
23.4,3,30.7,462,18,Track (Rail/Ballast),40.85
12.8,0,46.4,419,69,Signal,35.77
9.1,1,56.6,320,141,Signal,43.98
12.9,4,29.2,331,75,OHE (Overhead Equipment),54.49
10.0,2,61.5,413,120,Signal,40.93
4.0,3,90.8,176,88,S&T (Points/Crossing),11.66
17.4,4,91.9,123,165,S&T (Points/Crossing),18.08
38.2,1,54.0,528,80,Track (Rail/Ballast),39.49
39.5,3,41.4,195,94,S&T (Points/Crossing),59.84
38.3,4,85.9,240,91,Signal,21.47
33.1,6,95.1,235,157,Signal,33.51
36.1,2,25.9,254,170,Signal,53.2
2.2,0,93.0,128,128,S&T (Points/Crossing),17.97
5.8,1,85.4,541,119,S&T (Points/Crossing),34.25
28.1,4,91.1,687,47,Track (Rail/Ballast),42.0
27.5,3,34.7,274,208,OHE (Overhead Equipment),55.28
18.9,1,40.2,121,24,Track (Rail/Ballast),32.34
18.6,4,88.7,15,72,Signal,25.73
4.8,0,45.0,369,62,Signal,30.35
5.4,1,24.0,589,103,OHE (Overhead Equipment),51.95
38.4,1,49.7,440,197,Track (Rail/Ballast),68.89
38.7,2,61.1,244,178,OHE (Overhead Equipment),45.93
27.9,1,58.4,358,100,OHE (Overhead Equipment),33.58
37.7,4,48.5,569,103,Signal,57.77
30.9,0,83.8,454,63,OHE (Overhead Equipment),33.9
15.0,1,86.3,26,198,OHE (Overhead Equipment),22.78
0.5,2,79.2,22,188,Track (Rail/Ballast),14.73
7.7,0,95.6,499,182,S&T (Points/Crossing),16.19
26.3,0,79.6,21,198,OHE (Overhead Equipment),18.52
11.7,4,63.6,653,36,S&T (Points/Crossing),39.43
33.4,0,57.5,352,38,Track (Rail/Ballast),32.38
8.2,3,65.4,136,16,Signal,25.27
13.2,4,51.5,161,24,Track (Rail/Ballast),42.17
34.0,0,14.7,523,79,Signal,62.72
12.4,1,21.7,386,208,OHE (Overhead Equipment),53.19
28.6,3,10.8,620,89,Track (Rail/Ballast),66.15
29.0,1,89.9,584,55,OHE (Overhead Equipment),34.14
16.3,3,35.9,189,67,Signal,34.77
24.3,2,89.9,510,85,Signal,33.98
39.5,1,42.9,424,134,S&T (Points/Crossing),65.84
26.4,3,24.7,460,34,Signal,59.3
30.5,4,38.2,252,157,OHE (Overhead Equipment),50.19
23.7,2,71.9,28,128,OHE (Overhead Equipment),37.83
11.9,7,58.6,457,181,Track (Rail/Ballast),45.65
25.4,3,23.9,425,49,S&T (Points/Crossing),48.29
10.2,4,82.3,98,148,Signal,25.04
39.8,3,68.8,640,159,Signal,53.41
27.1,3,47.2,7,116,S&T (Points/Crossing),33.7
29.1,1,83.8,582,150,S&T (Points/Crossing),39.05
33.1,2,98.3,504,172,S&T (Points/Crossing),39.97
8.5,2,61.3,461,77,S&T (Points/Crossing),27.14
37.8,4,54.2,292,126,Track (Rail/Ballast),39.6
3.3,2,52.5,422,138,OHE (Overhead Equipment),38.22
32.5,0,49.7,191,22,Track (Rail/Ballast),33.71
6.6,2,56.2,220,59,Signal,29.16
34.3,1,92.5,646,61,S&T (Points/Crossing),28.13
33.7,3,12.4,310,75,Signal,51.06
23.7,1,55.6,373,181,Track (Rail/Ballast),50.9
0.7,3,33.5,599,37,OHE (Overhead Equipment),50.85
24.8,3,32.2,332,163,OHE (Overhead Equipment),53.56
29.3,0,92.9,605,160,S&T (Points/Crossing),27.31
17.0,3,57.8,593,77,S&T (Points/Crossing),43.33
18.4,3,62.7,636,26,OHE (Overhead Equipment),41.96
1.6,1,51.0,325,202,Signal,34.58
33.3,2,74.9,714,16,S&T (Points/Crossing),47.93
18.0,0,98.9,594,189,OHE (Overhead Equipment),37.92
33.6,0,48.1,392,211,Signal,46.21
9.1,3,90.4,567,98,Track (Rail/Ballast),26.94
33.6,1,16.2,482,60,Signal,54.63
14.9,4,15.0,602,218,Signal,58.61
23.4,2,61.9,413,16,S&T (Points/Crossing),36.76
23.9,1,39.5,113,70,OHE (Overhead Equipment),34.64
7.0,2,94.6,244,90,S&T (Points/Crossing),23.19
9.9,3,94.8,126,95,OHE (Overhead Equipment),18.59
3.0,1,61.8,572,195,Signal,34.19
31.6,2,29.4,586,112,S&T (Points/Crossing),59.09
8.6,1,94.0,12,132,S&T (Points/Crossing),27.31
29.5,0,23.5,402,144,OHE (Overhead Equipment),60.07
24.5,8,99.2,288,208,Track (Rail/Ballast),31.73
36.7,5,46.0,487,122,Track (Rail/Ballast),58.67
21.9,1,98.0,624,99,OHE (Overhead Equipment),31.41
35.5,2,87.1,197,110,S&T (Points/Crossing),28.45
21.5,1,93.7,507,126,OHE (Overhead Equipment),24.74
27.6,0,40.1,189,182,OHE (Overhead Equipment),47.24
28.7,0,30.8,89,205,S&T (Points/Crossing),46.29
29.3,2,66.6,554,30,Signal,52.67
26.3,2,34.1,213,77,Track (Rail/Ballast),35.32
22.0,1,11.9,529,145,Signal,60.87
22.0,3,64.1,78,129,S&T (Points/Crossing),33.26
28.3,3,95.4,477,189,Signal,41.17
37.6,2,88.3,596,193,OHE (Overhead Equipment),45.14
34.8,5,65.9,93,128,S&T (Points/Crossing),31.65
10.4,1,64.4,519,210,S&T (Points/Crossing),39.78
1.0,4,95.2,199,130,Track (Rail/Ballast),19.69
20.1,2,40.3,176,149,Track (Rail/Ballast),36.15
5.6,3,78.7,266,95,S&T (Points/Crossing),18.3
26.7,1,55.2,365,158,Signal,41.59
1.6,3,10.5,619,49,Track (Rail/Ballast),52.14
37.5,1,86.2,15,181,Track (Rail/Ballast),32.25
33.4,6,41.8,348,15,OHE (Overhead Equipment),51.82
7.4,3,77.5,526,89,Track (Rail/Ballast),43.22
3.0,0,21.2,288,92,OHE (Overhead Equipment),48.8
20.2,0,75.8,237,100,S&T (Points/Crossing),21.63
34.9,4,22.4,439,102,Signal,62.97
2.5,4,58.1,16,71,S&T (Points/Crossing),31.02
14.6,2,28.9,563,44,Track (Rail/Ballast),69.21
14.0,2,35.5,688,37,S&T (Points/Crossing),53.79
